broadcast_name,country_code,driver_number,first_name,full_name,last_name,meeting_key,name_acronym,session_key,team_colour,team_name
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1220,VER,9169,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1220,PER,9169,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1220,VER,9173,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1220,PER,9173,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1221,VER,9214,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1221,PER,9214,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1221,VER,9215,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1221,PER,9215,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1221,VER,9220,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1221,PER,9220,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1221,VER,9221,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1221,PER,9221,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1221,VER,9298,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1221,PER,9298,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1222,VER,9206,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1222,PER,9206,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1222,VER,9207,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1222,PER,9207,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1222,VER,9212,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1222,PER,9212,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1222,VER,9213,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1222,PER,9213,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1222,VER,9294,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1222,PER,9294,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1223,VER,9174,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1223,PER,9174,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1223,VER,9175,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1223,PER,9175,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1223,VER,9176,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1223,PER,9176,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1223,VER,9177,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1223,PER,9177,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1223,VER,9181,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1223,PER,9181,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1224,VER,9198,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1224,PER,9198,3671C6,Red Bull Racing
